chozodecal01_bc maps\textures\chozodecal01_bc.bctex
trail actors\weapons\chozocommanderenergyshardssphere\fx\textures\trail.bctex
chozoconsolegeneric01_nm maps\textures\chozoconsolegeneric01_nm.bctex
mapev_plant001_nm actors\events\mapev_plant001\models\textures\mapev_plant001_nm.bctex
autsharp_at actors\characters\autsharp\models\textures\autsharp_at.bctex
chozoallbggenwall01_nm maps\objects\chozoallbggenwall06endr\textures\chozoallbggenwall01_nm.bctex
magvulkraneggs_bc maps\textures\magvulkraneggs_bc.bctex
emmydestoyed_at actors\characters\emmycave\models\textures\emmydestoyed_at.bctex
urbaninterior_cubemapsspecularhdr maps\cubemaps\urbaninterior_cubemapsspecularhdr.bctex
checkergrey01_bc maps\textures\checkergrey01_bc.bctex
specialrocket_impactrays system\fx\textures_zdr\specialrocket_impactrays.bctex
shipf_b_at maps\textures\shipf_b_at.bctex
quetzoa_loopball system\fx\textures_zdr\quetzoa_loopball.bctex
cavrockbackground17_nm maps\textures\cavrockbackground17_nm.bctex
spenergytank_d actors\items\item_senergytank\models\textures\spenergytank_d.bctex
magdigrockplatform01_at maps\textures\magdigrockplatform01_at.bctex
soft system\fx\textures\soft.bctex
distortion_wave02 system\fx\textures_zdr\distortion_wave02.bctex
trail_smoke_a_long system\fx\textures_zdr\trail_smoke_a_long.bctex
grapplepulloff1x2_nm actors\props\grapplepulloff1x2\models\textures\grapplepulloff1x2_nm.bctex
ir_forest gui\textures\ir_forest.bctex
caveiniciocubemapdiffusehdr maps\cubemaps\caveiniciocubemapdiffusehdr.bctex
magmeltrockplatform01_nm maps\textures\magmeltrockplatform01_nm.bctex
bl1specularhdr maps\cubemaps\definitivos\bl.1specularhdr.bctex
powerup_bomb_inner actors\items\powerup_speedbooster\models\textures\powerup_bomb_inner.bctex
trail_rot system\fx\textures_zdr\trail_rot.bctex
quarantine_bridge_bc actors\props\quarantine_bridge\models\textures\quarantine_bridge_bc.bctex
aquadigrock02_nm maps\textures\aquadigrock02_nm.bctex
chozomatpaintedwhite02_nm maps\textures\chozomatpaintedwhite02_nm.bctex
aquarockwall01x3_bc maps\textures\aquarockwall01x3_bc.bctex
aqua_v3diffusehdr maps\cubemaps\20_9\aqua_v3diffusehdr.bctex
techcolum02_at maps\textures\techcolum02_at.bctex
powergenengine_c_nm actors\props\powergeneratorengine\models\textures\powergenengine_c_nm.bctex
wave system\fx\textures\wave.bctex
rays_fade system\fx\textures_zdr\rays_fade.bctex
fauna_reptile_01_bc actors\events\mapev_reptile01\models\textures\fauna_reptile_01_bc.bctex
chozomatplates05_bc maps\textures\chozomatplates05_bc.bctex
doorcentralunithitburn actors\props\doorcentralunit\models\textures\doorcentralunithitburn.bctex
chozomatconcreteblue04_at maps\textures\chozomatconcreteblue04_at.bctex
aquarockplatform01x3_at maps\textures\aquarockplatform01x3_at.bctex
tentaculos_bc actors\characters\hydrogiga\models\textures\tentaculos_bc.bctex
chozomatconcretegray07_bc maps\textures\chozomatconcretegray07_bc.bctex
2diffusehdr maps\cubemaps\25-7\2diffusehdr.bctex
chozotile02_nm maps\textures\chozotile02_nm.bctex
chozomatmetalyellow03_nm maps\textures\chozomatmetalyellow03_nm.bctex
chozomatconcretegray05_at maps\textures\chozomatconcretegray05_at.bctex
zero_face_bc actors\characters\samus_facial\models\textures\zero_face_bc.bctex
chozomatmetalbrown03_at maps\textures\chozomatmetalbrown03_at.bctex
zero_face_nm actors\characters\samus_facial\models\textures\zero_face_nm.bctex
caverock02_bc maps\textures\caverock02_bc.bctex
doorcharge_nm actors\props\doorchargecharge\models\textures\doorcharge_nm.bctex
scorpiusv1diffusehdr maps\cubemaps\19-8\scorpiusv1diffusehdr.bctex
aquarocksalt02_nm maps\objects\aquarocksalt02\textures\aquarocksalt02_nm.bctex
ramp_border02 actors\weapons\powerbeam\models\textures\ramp_border02.bctex
weightactivatedplatform_map_at actors\props\weightactivatedplatform_map\models\textures\weightactivatedplatform_map_at.bctex
weightactivatedplatform_nm actors\props\weightactivatedplatform_ammo\models\textures\weightactivatedplatform_nm.bctex
0reverse_glitch system\fx\generic\textures\0reverse_glitch.bctex
chozomatconcreteblue08_bc maps\textures\chozomatconcreteblue08_bc.bctex
brekable_water_pos actors\props\breakablecave003\fx\textures\brekable_water_pos.bctex
wall01 maps\textures\wall01.bctex
platform_commanderelevator_nm actors\props\wplatform_cm_elevator\models\textures\platform_commanderelevator_nm.bctex
powerup_bomb_bc actors\items\powerup_bomb\models\textures\powerup_bomb_bc.bctex
concretegreen01_nm maps\textures\concretegreen01_nm.bctex
doorcentralunithit_bc actors\props\doorcentralunit\models\textures\doorcentralunithit_bc.bctex
box_wide_cv_001_at actors\props\box_wide_cv_001\models\textures\box_wide_cv_001_at.bctex
testmats03_at maps\textures\testmats03_at.bctex
prueba_cm_edit_4diffusehdr maps\cubemaps\pruebas\prueba_cm_edit_4diffusehdr.bctex
sandbase03_nm maps\textures\sandbase03_nm.bctex
mattepaintingmagma015rocks01_bc maps\textures\mattepaintingmagma015rocks01_bc.bctex
chozomatconcretebase02_bc maps\textures\chozomatconcretebase02_bc.bctex
block_hyperbeam_nm actors\props\block_hyperbeam\models\textures\block_hyperbeam_nm.bctex
e_3_2diffusehdr maps\cubemaps\emmy\e_3_2diffusehdr.bctex
sphere_shaft system\fx\textures_zdr\sphere_shaft.bctex
chozoallwall01x03_nm maps\objects\chozoallwall01x3\textures\chozoallwall01x03_nm.bctex
water_init_pos actors\props\platformcavewaterb\fx\textures\water_init_pos.bctex
chozosancplatform01_at maps\textures\chozosancplatform01_at.bctex
chozoallpipesset01_bc maps\textures\chozoallpipesset01_bc.bctex
cavrockwater02_nm maps\textures\cavrockwater02_nm.bctex
siluro_at actors\events\mapev_siluro\models\textures\siluro_at.bctex
energytank_nm actors\items\item_energyfragment\models\textures\energytank_nm.bctex
lava_explosion02_anim_pos maps\fx\lavasplashes\textures\lava_explosion02_anim_pos.bctex
pup_chargebeam_bc actors\items\powerup_chargebeam\models\textures\pup_chargebeam_bc.bctex
waterwires02_norm maps\fx\waterwires\textures\waterwires02_norm.bctex
emmy_v2diffusehdr maps\cubemaps\19-8\emmy_v2diffusehdr.bctex
basetile01_bc maps\textures\basetile01_bc.bctex
missileexplosion system\fx\textures\missileexplosion.bctex
chozomatconcreteblue04_nm maps\textures\chozomatconcreteblue04_nm.bctex
zerolaser_fakeburst cutscenes\0001gameintro_fight\fx\textures\zerolaser_fakeburst.bctex
maproom_bc actors\props\maproom\models\textures\maproom_bc.bctex
capsula_interior_at actors\props\capsule_commander\models\textures\capsula_interior_at.bctex
obraspecularhdr maps\cubemaps\obraspecularhdr.bctex
magkraidheadcorridor02_bc maps\textures\magkraidheadcorridor02_bc.bctex
depthorn_at actors\characters\depthorn\models\textures\depthorn_at.bctex
rock_e_bc maps\textures\rock_e_bc.bctex
cprofessorfeathers_cut_bc actors\characters\chozoprofessor_cut\models\textures\cprofessorfeathers_cut_bc.bctex
yellow maps\textures\yellow.bctex
emmycaveblack_bc actors\characters\emmycave\models\textures\emmycaveblack_bc.bctex
powerbeam_impact_chargedcore3 system\fx\textures_zdr\powerbeam_impact_chargedcore3.bctex
chozobasewallset03_nm maps\textures\chozobasewallset03_nm.bctex
chozometalsimmetry_nm maps\textures\chozometalsimmetry_nm.bctex
chozomatconcreteblue13_nm maps\textures\chozomatconcreteblue13_nm.bctex
ramp_fresnel system\fx\textures_zdr\ramp\ramp_fresnel.bctex
chozomatpaintedyellow03_nm maps\textures\chozomatpaintedyellow03_nm.bctex
chozomatconcretegray04_nm maps\textures\chozomatconcretegray04_nm.bctex
platform_elevator_nm actors\props\weightactivatedplatform_elevator\models\textures\platform_elevator_nm.bctex
caverockborder_bc maps\textures\caverockborder_bc.bctex
fauna03_at actors\events\mapev_rod\models\textures\fauna03_at.bctex
body_dead_nm actors\characters\hydrogiga\models\textures\body_dead_nm.bctex
aquarock04x4simple_nm maps\textures\aquarock04x4simple_nm.bctex
samus_ship_nm actors\props\samus_ship_b\models\textures\samus_ship_nm.bctex
texturetext_left gui\textures\texturetext_left.bctex
emmyforestwhite_bc actors\characters\emmyforest\models\textures\emmyforestwhite_bc.bctex
mattepaintingforest019rocks01_bc maps\textures\mattepaintingforest019rocks01_bc.bctex
bubbles system\fx\textures\bubbles.bctex
chozosanwall01_at maps\textures\chozosanwall01_at.bctex
rainbow system\fx\textures\rainbow.bctex
lightning_stroke_00 maps\fx\lightningstroke\textures\lightning_stroke_00.bctex
lockonmissile_nm actors\weapons\lockonmissile\models\textures\lockonmissile_nm.bctex
magnetzipline_bc maps\textures\magnetzipline_bc.bctex
cubemap_005_2diffusehdr maps\cubemaps\pruebas\cubemap_005_2diffusehdr.bctex
ice_cube_medium_nm actors\props\ice_cube\models\textures\ice_cube_medium_nm.bctex
watermattop01_bc maps\textures\watermattop01_bc.bctex
chozomatmetalblue12_bc maps\textures\chozomatmetalblue12_bc.bctex
autclast_bc actors\characters\autclast\models\textures\autclast_bc.bctex
breakable_block_speedbuster_nm actors\props\breakable_block_speedbuster\models\textures\breakable_block_speedbuster_nm.bctex
capsula_interior_at actors\props\capsuleelevatorskybase\models\textures\capsula_interior_at.bctex
vrremmyoutdiffusehdr maps\cubemaps\20_11\vrr.emmyoutdiffusehdr.bctex
chozobasebg03_bc maps\textures\chozobasebg03_bc.bctex
chozodecal09_at maps\textures\chozodecal09_at.bctex
dead_suit_at actors\props\samus_deadsuit\models\textures\dead_suit_at.bctex
aquarocksalt01rock_bc maps\objects\aquarocksalt01\textures\aquarocksalt01rock_bc.bctex
pup_widebeam_nm actors\items\powerup_widebeam\models\textures\pup_widebeam_nm.bctex
noise_trails_soft system\fx\generic\textures\noise_trails_soft.bctex
specialburst_ball system\fx\textures_zdr\specialburst_ball.bctex
chozodecal06_bc maps\textures\chozodecal06_bc.bctex
fractal_cell_r system\fx\textures_zdr\fractal_cell_r.bctex
chozomatmetalgreen02_nm maps\textures\chozomatmetalgreen02_nm.bctex
trainwagonb_bc actors\props\wagontrain\models\textures\trainwagonb_bc.bctex
beamglow_l system\fx\textures\beamglow_l.bctex
emmyfx_noise actors\characters\emmycave\models\textures\emmyfx_noise.bctex
smoke_up_01 system\fx\textures_zdr\smoke_up_01.bctex
frozencubediffusehdr maps\cubemaps\frozencubediffusehdr.bctex
planteater_base_at actors\characters\planteater\models\textures\planteater_base_at.bctex
chozoaqdrain01_bc actors\props\chozoaqdrain01\models\textures\chozoaqdrain01_bc.bctex
aquarocksaltcornerrock_at maps\objects\aquarocksaltcorner\textures\aquarocksaltcornerrock_at.bctex
aberration03_nm maps\textures\aberration03_nm.bctex
cavedigrock01_bc maps\textures\cavedigrock01_bc.bctex
weightactivatedplatform_access_at actors\props\weightactivatedplatform_access\models\textures\weightactivatedplatform_access_at.bctex
gradient01 system\fx\textures_zdr\gradient01.bctex
fractalnoise system\fx\textures\fractalnoise.bctex
cavecolumcristal05_nm maps\textures\cavecolumcristal05_nm.bctex
chozosancpilar_nm maps\textures\chozosancpilar_nm.bctex
ship01_bc maps\textures\ship01_bc.bctex
lava_drops00_anim_pos maps\fx\lavadrops\textures\lava_drops00_anim_pos.bctex
ice_nm actors\props\ice_cube\models\textures\ice_nm.bctex
blue_energy03_bc maps\textures\blue_energy03_bc.bctex
dredhedshield_bc actors\characters\dredhed\models\textures\dredhedshield_bc.bctex
chozomatmetalblue06_nm maps\textures\chozomatmetalblue06_nm.bctex
cubemap_darkdiffusehdr maps\cubemaps\pruebas\cubemap_darkdiffusehdr.bctex
ca_7diffusehdr maps\cubemaps\caveaqua\ca_7diffusehdr.bctex
brekable_water_vc actors\props\breakablecave003\fx\textures\brekable_water_vc.bctex
grapplepulloff1x2_bc actors\props\grapplepulloff1x2\models\textures\grapplepulloff1x2_bc.bctex
destructibleblockscrewattack_d maps\blocks\breakable_block_screwattack\textures\destructibleblockscrewattack_d.bctex
chozoaqatrezzorot01_at maps\textures\chozoaqatrezzorot01_at.bctex
trainbackground system\fx\textures_zdr\trainbackground.bctex
centralunitcave01_nm actors\characters\centralunitcave\models\textures\centralunitcave01_nm.bctex
cavpathrock02_nm maps\textures\cavpathrock02_nm.bctex
cooldown_head_bc actors\characters\cooldownxboss\models\textures\cooldown_head_bc.bctex
trail02 system\fx\textures\trail02.bctex
causticmat01_bc maps\textures\causticmat01_bc.bctex
waves_noises_soft system\fx\textures_zdr\waves_noises_soft.bctex
chozobasejaildoor01_nm maps\textures\chozobasejaildoor01_nm.bctex
samus_splashenter_pos actors\characters\samus\fx\textures\samus_splashenter_pos.bctex
ashesparticles4_anim_pos cutscenes\0057scorpiusdeath\fx\textures\ashesparticles4_anim_pos.bctex
chozoallbggenwall02_nm maps\objects\chozoallbggenwall03x1\textures\chozoallbggenwall02_nm.bctex
elevator_steam02 actors\props\elevator\fx\textures\elevator_steam02.bctex
aeionstatueroom_platform_nm actors\props\aeionstatueroom_platform\models\textures\aeionstatueroom_platform_nm.bctex
armor_body_bc actors\events\mapev_armor\models\textures\armor_body_bc.bctex
sakai_bc actors\characters\sakai\models\textures\sakai_bc.bctex
magma_extremediffusehdr maps\cubemaps\19-8\magma_extremediffusehdr.bctex
mapev_magma_crab_nm actors\events\mapev_magma_crab\models\textures\mapev_magma_crab_nm.bctex
doorshieldsupermissile_bc actors\props\doorshieldsupermissile\models\textures\doorshieldsupermissile_bc.bctex
purplenx03_bc maps\textures\purplenx03_bc.bctex
sandbase02_nm maps\textures\sandbase02_nm.bctex
base_v1specularhdr maps\cubemaps\19-8\base_v1specularhdr.bctex
charcowall01_nm maps\textures\charcowall01_nm.bctex
texturetext_lstickcounterclockwise gui\textures\texturetext_lstickcounterclockwise.bctex
default_at actors\events\mapev_fish_b\models\textures\default_at.bctex
charcowall01_at maps\textures\charcowall01_at.bctex
magmeltrockwall01x4_nm maps\textures\magmeltrockwall01x4_nm.bctex
mapev_disectedcreature_nm actors\events\mapev_disectedcreature\models\textures\mapev_disectedcreature_nm.bctex
mudmatcave04_nm maps\textures\mudmatcave04_nm.bctex
chozomagpathchain_nm maps\textures\chozomagpathchain_nm.bctex
aberration02_nm maps\textures\aberration02_nm.bctex
quetzoa_ball_impact_rays system\fx\textures_zdr\quetzoa_ball_impact_rays.bctex
weightpanel_bc actors\props\deviceheat\models\textures\weightpanel_bc.bctex
chozoshipcapsule02_nm maps\textures\chozoshipcapsule02_nm.bctex
cavplatformrock04v2_bc maps\textures\cavplatformrock04v2_bc.bctex
itemwidebeam_d actors\items\powerup_widebeam\models\textures\itemwidebeam_d.bctex
letters_hologram_noise actors\props\accesspoint\fx\textures\letters_hologram_noise.bctex
doorheat_bc actors\props\doorheat\models\textures\doorheat_bc.bctex
prueba_cm_edit_4specularhdr maps\cubemaps\pruebas\prueba_cm_edit_4specularhdr.bctex
mudfluid04_nor actors\characters\chozowarriorx\fx\textures\mudfluid04_nor.bctex
plasmabeam_l actors\weapons\plasmabeam\models\textures\plasmabeam_l.bctex
flamelickanim_l system\fx\textures\flamelickanim_l.bctex
testcolumnvisual_nm maps\textures\testcolumnvisual_nm.bctex
icemissile_nm actors\items\powerup_icemissile\models\textures\icemissile_nm.bctex
plant0002 maps\textures\plant0002.bctex
samusgravityreward_d actors\characters\samus\models\textures\samusgravityreward_d.bctex
bomb_bc actors\weapons\bomb\models\textures\bomb_bc.bctex
cavpathrock02v1_bc maps\textures\cavpathrock02v1_bc.bctex
chozomatmetalwhite01_bc maps\textures\chozomatmetalwhite01_bc.bctex
spawnpointautsharp_at actors\spawnpoints\spawnpointautsharp\models\textures\spawnpointautsharp_at.bctex
rays_alphalevels_04 system\fx\textures_zdr\rays_alphalevels_04.bctex
cavstatuesaveroom01_at maps\textures\cavstatuesaveroom01_at.bctex
debugchecker01_bc maps\textures\debugchecker01_bc.bctex
helix system\fx\textures\helix.bctex
doors_bc maps\textures\doors_bc.bctex
eyeglowstatues system\fx\textures\eyeglowstatues.bctex
chozoallramp01_bc maps\textures\chozoallramp01_bc.bctex
dissolvecracks system\fx\textures_zdr\dissolvecracks.bctex
shipyardlightning02 system\fx\textures_zdr\shipyardlightning02.bctex
specialab system\fx\textures\specialab.bctex
bigx_commanderx_bc actors\characters\bigx_commanderx\models\textures\bigx_commanderx_bc.bctex
frontpath01_at maps\textures\frontpath01_at.bctex
kor_atlas system\fonts\textures\kor_atlas.bctex
column01a_nm maps\textures\column01a_nm.bctex
chozoallasset03_bc maps\textures\chozoallasset03_bc.bctex
cr_1specularhdr maps\cubemaps\comunication_room\cr_1specularhdr.bctex
chozomatconcreteblue12_nm maps\textures\chozomatconcreteblue12_nm.bctex
chozomatgrid01_nm maps\textures\chozomatgrid01_nm.bctex
magvulkraneggs_nm maps\textures\magvulkraneggs_nm.bctex
cavpathrock03v2_bc maps\textures\cavpathrock03v2_bc.bctex
elevator_steam03 actors\props\elevator\fx\textures\elevator_steam03.bctex
statuegatesanctuary_nm maps\textures\statuegatesanctuary_nm.bctex
waterwires_norm maps\fx\waterwires\textures\waterwires_norm.bctex
caverock02_nm maps\textures\caverock02_nm.bctex
spinenergy_02 system\fx\textures\spinenergy_02.bctex
cavplatformrock04v4_at maps\textures\cavplatformrock04v4_at.bctex
cavplatformrock05_bc maps\textures\cavplatformrock05_bc.bctex
pistil_dead_bc actors\characters\hydrogiga\models\textures\pistil_dead_bc.bctex
ringblured system\fx\textures_zdr\ringblured.bctex
cavstatuespecialboss01_bc maps\textures\cavstatuespecialboss01_bc.bctex
cave_aquadiffusehdr maps\cubemaps\19-8\cave_aquadiffusehdr.bctex
coldzoneasset04_bc maps\textures\coldzoneasset04_bc.bctex
shipextb_at actors\props\samus_ship_b\models\textures\shipextb_at.bctex
emmyprotoblack_nm actors\characters\emmyproto\models\textures\emmyprotoblack_nm.bctex
grapplepoint_bc actors\props\grapplepoint\models\textures\grapplepoint_bc.bctex
powerup_gravity_at actors\items\powerup_gravitysuit\models\textures\powerup_gravity_at.bctex
demolition_grapple_nm actors\props\demolition_grapple\models\textures\demolition_grapple_nm.bctex
halo2 system\fx\textures\halo2.bctex
fan_reg_at actors\props\fan_reg\models\textures\fan_reg_at.bctex
letters_hologram system\fx\generic\textures\letters_hologram.bctex
chozomatpaintedred01_nm maps\textures\chozomatpaintedred01_nm.bctex
mattepaintingquarantinepart01rocks02_bc maps\textures\mattepaintingquarantinepart01rocks02_bc.bctex
sky_hdr_diffuse system\engine\textures\sky_hdr_diffuse.bctex
sharpaw_nm actors\characters\sharpaw\models\textures\sharpaw_nm.bctex
zero_head_nm actors\characters\samus\models\textures\zero_head_nm.bctex
bubbles_02 system\fx\textures\bubbles_02.bctex
teleporterbase_nm actors\props\teleporter\models\textures\teleporterbase_nm.bctex
white actors\characters\hecathon\fx\textures\white.bctex
leavemat03_bc maps\textures\leavemat03_bc.bctex
yellow_energy01_bc maps\textures\yellow_energy01_bc.bctex
chozoallasset02_nm maps\textures\chozoallasset02_nm.bctex
spawnpointrockdiver_at actors\spawnpoints\spawnpointrockdiver\models\textures\spawnpointrockdiver_at.bctex
texturetext_dbuttons gui\textures\texturetext_dbuttons.bctex
powerup_bomb_inner actors\items\powerup_ghostaura\models\textures\powerup_bomb_inner.bctex
shaft_corner system\fx\textures_zdr\shaft_corner.bctex
platformcavewaterb_at maps\textures\platformcavewaterb_at.bctex
cooldownboogers02_nm maps\textures\cooldownboogers02_nm.bctex
rockforestplatform01x4v3_nm maps\textures\rockforestplatform01x4v3_nm.bctex
samus_sburst_nm actors\characters\samus\models\textures\samus_sburst_nm.bctex
quetzoa_loopball_rays_03 system\fx\textures_zdr\quetzoa_loopball_rays_03.bctex
chozowallemmy01_at maps\textures\chozowallemmy01_at.bctex
gravitysuit_chozo_nm maps\textures\gravitysuit_chozo_nm.bctex
kraidbouncingcreatures_bc actors\weapons\kraidbouncingcreatures\models\textures\kraidbouncingcreatures_bc.bctex
chozomatconcretegray03_at maps\textures\chozomatconcretegray03_at.bctex
rockforestplatform01x4v2_nm maps\textures\rockforestplatform01x4v2_nm.bctex
doorcaveatrium_nm actors\props\doorcaveatrium\models\textures\doorcaveatrium_nm.bctex
mossdecal02_at maps\textures\mossdecal02_at.bctex
cavrock06_bc maps\textures\cavrock06_bc.bctex
emmyprotowhite_at actors\characters\emmyproto\models\textures\emmyprotowhite_at.bctex
gooshockerx_bc actors\characters\gooshocker\models\textures\gooshockerx_bc.bctex
leaves_nm maps\textures\leaves_nm.bctex
cavrock06_nm maps\textures\cavrock06_nm.bctex
pistonmagma_nm actors\props\pistonmagma\models\textures\pistonmagma_nm.bctex
commander_arm_nm actors\characters\chozocommander_arm\models\textures\commander_arm_nm.bctex
doorchargelight_at actors\props\doorchargeclosed\models\textures\doorchargelight_at.bctex
weightactivatedplatform_at actors\props\weightactivatedplatform_capsule\models\textures\weightactivatedplatform_at.bctex
chozobaseassets03_nm maps\textures\chozobaseassets03_nm.bctex
powerup_gravity_nm actors\items\powerup_gravitysuit\models\textures\powerup_gravity_nm.bctex
ramp_samus system\fx\textures_zdr\ramp\ramp_samus.bctex
goliath_trail actors\characters\goliath\fx\textures\goliath_trail.bctex
goliath2_bc actors\characters\goliath\models\textures\goliath2_bc.bctex
planetcracks cutscenes\0112endgame\fx\textures\planetcracks.bctex
deviceheat_at actors\props\deviceheat\models\textures\deviceheat_at.bctex
camisa_nm actors\characters\chozoprofessor\models\textures\camisa_nm.bctex
exteriorframe_bc maps\textures\exteriorframe_bc.bctex
forestmoss01_bc maps\textures\forestmoss01_bc.bctex
aquanature02_bc maps\textures\aquanature02_bc.bctex
weightactivatedplatform_generator_at actors\props\weightactivatedplatform_generator\models\textures\weightactivatedplatform_generator_at.bctex
plantforestbranchbig01_nm maps\textures\plantforestbranchbig01_nm.bctex
platform_totalrecharge_bc actors\props\weightactivatedplatform_total\models\textures\platform_totalrecharge_bc.bctex
cavplatformrock04v9_bc maps\textures\cavplatformrock04v9_bc.bctex
chozomagemmypath01_bc maps\textures\chozomagemmypath01_bc.bctex
lasernoise system\fx\textures_zdr\lasernoise.bctex
commanderwings_at actors\characters\chozocommander\models\textures\commanderwings_at.bctex
purplefluid_bc maps\textures\purplefluid_bc.bctex
linebomb_at actors\weapons\supergoliathlinebomb\models\textures\linebomb_at.bctex
chozomatgrid01_bc maps\textures\chozomatgrid01_bc.bctex
obsydomithon_bc actors\characters\obsydomithon\models\textures\obsydomithon_bc.bctex
aquarocksalt03velvet_nm maps\objects\aquarocksalt03\textures\aquarocksalt03velvet_nm.bctex
melee_white actors\characters\samus\fx\textures\melee_white.bctex
chozoallwall02c_bc maps\textures\chozoallwall02c_bc.bctex
cavrockbackground04_at maps\textures\cavrockbackground04_at.bctex
core_x_at actors\characters\core_x\models\textures\core_x_at.bctex
chozomatmetalgray08_bc maps\textures\chozomatmetalgray08_bc.bctex
kraidrottenmeat_at actors\weapons\kraidrottenmeat\models\textures\kraidrottenmeat_at.bctex
airport_cubemapspecularhdr maps\cubemaps\airport_cubemapspecularhdr.bctex
baselabspecularhdr maps\cubemaps\definitivos\baselabspecularhdr.bctex
body_dead_at actors\props\hydrogigacorpse\models\textures\body_dead_at.bctex
coldzoneasset04_nm maps\textures\coldzoneasset04_nm.bctex
sanderodedsoil01_nm maps\textures\sanderodedsoil01_nm.bctex
core_x_alpha_at actors\characters\core_x\models\textures\core_x_alpha_at.bctex
base001_cmspecularhdr maps\cubemaps\base001_cmspecularhdr.bctex
chozomatconcreteblue05cut_nm maps\textures\chozomatconcreteblue05cut_nm.bctex
chozowarrior_body_02_bc actors\characters\chozowarrior\models\textures\chozowarrior_body_02_bc.bctex
emmy_cubemap_test_14specularhdr maps\cubemaps\pruebas\emmy_cubemap_test_14specularhdr.bctex
cavplatformrock04v3_at maps\textures\cavplatformrock04v3_at.bctex
chozoemmytunnelfloor01_nm maps\textures\chozoemmytunnelfloor01_nm.bctex
blendmask_00 maps\textures\blendmask_00.bctex
cave10matte01_bc maps\textures\cave10matte01_bc.bctex
specialcolumn01m_nm maps\textures\specialcolumn01m_nm.bctex
fire02 actors\characters\obsydomithon\fx\textures\fire02.bctex
missile_bc actors\items\item_missiletankplus\models\textures\missile_bc.bctex
cavstatuechozo02_at maps\textures\cavstatuechozo02_at.bctex
emmyprotoblack_bc actors\characters\emmyproto\models\textures\emmyprotoblack_bc.bctex
chozomatconcretepattern05_nm maps\textures\chozomatconcretepattern05_nm.bctex
quarentinemuralastronomy_at maps\textures\quarentinemuralastronomy_at.bctex
chozomatmetalwhite02_nm maps\textures\chozomatmetalwhite02_nm.bctex
forestgoundwet01_bc maps\textures\forestgoundwet01_bc.bctex
droppables01 system\fx\textures\droppables01.bctex
capsula_capsula_at actors\props\capsule_commander\models\textures\capsula_capsula_at.bctex
chozowiderail01_bc maps\textures\chozowiderail01_bc.bctex
hitdemolitionblock01_nm maps\textures\hitdemolitionblock01_nm.bctex
capsula_capsula_bc actors\props\capsule_commander\models\textures\capsula_capsula_bc.bctex
aquarocksaltcornerrock_nm maps\objects\aquarocksaltcorner\textures\aquarocksaltcornerrock_nm.bctex
cavrockbackground10_nm maps\textures\cavrockbackground10_nm.bctex
chozowarriorx_tentacles_at actors\characters\chozowarriorx\models\textures\chozowarriorx_tentacles_at.bctex
cavdigrockplatform01_nm maps\textures\cavdigrockplatform01_nm.bctex
c1specularhdr maps\cubemaps\definitivos\c.1specularhdr.bctex
capsule01 maps\fx\aquabubbles\textures\capsule01.bctex
pup_plasmabeam_bc actors\items\powerup_plasmabeam\models\textures\pup_plasmabeam_bc.bctex
chozoalltunnelbg01x1_at maps\objects\chozoalltunnelbg01x1\textures\chozoalltunnelbg01x1_at.bctex
cavcrystal01_at maps\textures\cavcrystal01_at.bctex
destructibleblockbaby_d maps\blocks\breakable_block_baby\textures\destructibleblockbaby_d.bctex
column05_nm maps\textures\column05_nm.bctex
chozomatmetalblue11_bc maps\textures\chozomatmetalblue11_bc.bctex
chozobgemmy03_bc maps\textures\chozobgemmy03_bc.bctex
chozosancfullflag01alpha_bc maps\textures\chozosancfullflag01alpha_bc.bctex
thread_tile system\fx\textures\thread_tile.bctex
chozomatconcreteblue11_nm maps\textures\chozomatconcreteblue11_nm.bctex
chozodecalmoss01_at maps\textures\chozodecalmoss01_at.bctex
chozomagemmypath01_nm maps\textures\chozomagemmypath01_nm.bctex
purplenx02_bc maps\textures\purplenx02_bc.bctex
chozowarriorx_tentacles_nm actors\characters\chozowarriorx\models\textures\chozowarriorx_tentacles_nm.bctex
siluro_nm actors\events\mapev_siluro\models\textures\siluro_nm.bctex
chozobgwater01 maps\textures\chozobgwater01.bctex
skin08_bc maps\textures\skin08_bc.bctex
platform_metal_nm actors\props\platformcavmagnet3left\models\textures\platform_metal_nm.bctex
doorwavebeam_bc actors\props\doorwavebeam\models\textures\doorwavebeam_bc.bctex
lightnings_fade_l actors\props\powergeneratorengine\fx\textures\lightnings_fade_l.bctex
star_01 actors\characters\autsharp\fx\textures\star_01.bctex
mudmatcave09_nm maps\textures\mudmatcave09_nm.bctex
impactdecal001_bc maps\textures\impactdecal001_bc.bctex
breakable_block_missile02_at maps\blocks\breakable_block_missile02\textures\breakable_block_missile02_at.bctex
doorheatframe_nm actors\props\doorheat\models\textures\doorheatframe_nm.bctex
water_nor actors\props\breakablecave008\fx\textures\water_nor.bctex
cavbug02_at maps\textures\cavbug02_at.bctex
cavebackgroundrock01_nm maps\textures\cavebackgroundrock01_nm.bctex
bomb_prerays system\fx\textures_zdr\bomb_prerays.bctex
water_end_pos actors\props\platformcavewaterb\fx\textures\water_end_pos.bctex
kraidbouncingcreaturesunb_at actors\weapons\kraidbouncingcreaturesunb\models\textures\kraidbouncingcreaturesunb_at.bctex
planteater_cuerpo_at actors\characters\planteater\models\textures\planteater_cuerpo_at.bctex
